KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
Flavone_and_flavonol_biosynthesis	0.9946119011810443	0.997462580470991	8.248489369553874e-13	0.9230769230769231	1.8621951098680987e-05	9.54230455863779e-07	1.1218226412202875e-06
Glutathione_metabolism	-7.001653151011348	0.002012149116125513	0.9950482535156956	0.16783216783216784	0.602099427786538	0.0004005091944792733	0.0005339162682435376
Glycosyltransferases	-6.295113845353917	0.04365665799505404	0.8928362430145936	0.2657342657342658	0.40383308831471165	0.0009042706136176805	0.0011836929690960626
Glyoxylate_and_dicarboxylate_metabolism	-21.202473509576002	-0.5292435067707465	0.07682344100951985	-0.2867132867132868	0.36625146058358227	0.000995821827035793	0.0013742693654279594
Insulin_signaling_pathway	-3.3143429598296583	0.3215243708263585	0.3081546835452899	0.44055944055944063	0.15173503571673022	0.00016646292879563318	0.00023222371086772397
Lipid_metabolism	0.766899481649007	0.9197249315916793	2.2916302125338127e-05	0.7202797202797203	0.008239768712338441	0.00012535018404759098	9.651186273181903e-05
Meiosis___yeast	0.9852181832527915	0.9931668335808109	1.1598667378581295e-10	0.8181818181818183	0.0011431050868040604	1.631798772915083e-05	9.074888104278256e-06
Nitrogen_metabolism	-51.322711870334736	-0.3097749005286679	0.32715611955609536	-0.1188811188811189	0.712884219214772	0.0013466257183080465	0.0020803147133586545
Other_ion_coupled_transporters	-1.555812295189933	0.6633911995953259	0.018680133992787368	0.4825174825174825	0.11210929146889191	0.0007926235138943135	0.0007603854154179911
Others	-18.245929399340664	-0.2625583356356175	0.4096853793909976	0.02097902097902098	0.9484022252365223	0.0015990810464392166	0.00214884594881329
Pathways_in_cancer	-4.874112357473706	0.06900599285889558	0.8312541551732429	0.4265734265734266	0.16669998762494495	9.474227496847767e-05	0.00016000451037021137
Pentose_and_glucuronate_interconversions	-3.723845442504116	-0.04771985572503236	0.8829202509171382	0.17482517482517487	0.5868236643627043	0.0011986817007532524	0.001799172908491945
Peptidoglycan_biosynthesis	-24.27831333956269	-0.17703587164837178	0.5820262067327799	0.18881118881118883	0.5567370561768314	0.0015825228847965932	0.002582008644774752
Plant_pathogen_interaction	-15.982672103010035	-0.17151589996541394	0.5940337505806899	-0.1258741258741259	0.6966831093957659	0.000340844996037658	0.0004034928591707498
Porphyrin_and_chlorophyll_metabolism	0.40509133097564287	0.7511050019206456	0.004865685947339445	0.8601398601398602	0.0003316683391269209	0.0004230879953731289	0.0004247332406383291
Renal_cell_carcinoma	0.9248122544250873	0.9624904875729752	5.490498427825821e-07	0.9720279720279721	1.2868115751495013e-07	8.693012650472165e-06	8.944416620989146e-06
Retinol_metabolism	0.478006061309895	0.7782541334710611	0.0028701125159053113	0.5594405594405596	0.05858947538856762	5.2961945033147904e-05	0.00010227201728718339
Selenocompound_metabolism	-1.3347173526104097	0.5669331738881555	0.05458097824021809	0.4895104895104896	0.106252371759346	0.00043654580310846747	0.00045400535403838086
Signal_transduction_mechanisms	-5.812946368931208	0.18586828504569633	0.5630149177803092	0.35664335664335667	0.25513775175895725	0.0008520070237060012	0.001025878932841564
Sulfur_metabolism	-2.0865760355353893	0.38832445007214456	0.21224107799094527	0.11188811188811189	0.729194990751066	0.0005272631531429848	0.0007430613597455777
Transcription_factors	-5.208297408086263	0.02983048725369335	0.926676065990054	0.14685314685314685	0.6487957097846664	0.002403988065294056	0.0029827905036299493
Transcription_machinery	-27.546565068701742	-0.02544071929698583	0.9374459774608437	0.06993006993006995	0.8290236405313092	0.0023577176407023237	0.0028645051888646633
Transporters	-0.8051006643055503	0.5573991651470491	0.059716166864155006	0.6293706293706295	0.02831967129576002	0.003989134876167759	0.005010010834355096
Vibrio_cholerae_pathogenic_cycle	0.676904453821956	0.9071611564036407	4.639670262823758e-05	0.8741258741258742	0.00020071307332423193	8.919987737490539e-05	7.90234578919126e-05
Zeatin_biosynthesis	-4.565391949790974	-0.00441190894029928	0.9891428496230088	0.14685314685314685	0.6487957097846664	0.00015956821821557518	0.00022791883255644948
