# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
Lipid_metabolism	0.0015363948333333335	0.0008980145	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Lipid_metabolism
Meiosis___yeast	0.0002363551666666667	4.473333333333333e-05	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Meiosis___yeast
Nitrogen_metabolism	0.007641978166666667	0.007099589833333334	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Nitrogen_metabolism
Other_ion_coupled_transporters	0.0120441135	0.010756228000000001	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Other_ion_coupled_transporters
Others	0.0076964741666666675	0.006662017833333332	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Others
Pathways_in_cancer	0.0006171171666666666	0.0004988346666666666	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Pathways_in_cancer
Pentose_and_glucuronate_interconversions	0.006080954499999999	0.004573939666666667	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Pentose_and_glucuronate_interconversions
Peptidoglycan_biosynthesis	0.009737112333333334	0.008606960166666667	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Peptidoglycan_biosynthesis
Plant_pathogen_interaction	0.0015325095	0.0013229703333333335	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Plant_pathogen_interaction
Porphyrin_and_chlorophyll_metabolism	0.0063920213333333335	0.005007406666666667	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Porphyrin_and_chlorophyll_metabolism
Renal_cell_carcinoma	0.00010457133333333335	3.69e-05	2.401922307076307	0.016309171877754974	1.7875680903424376	0.0	0.0	1.0	1.0	Renal_cell_carcinoma
Retinol_metabolism	0.0003990175	0.00012801216666666665	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Retinol_metabolism
Selenocompound_metabolism	0.003912836333333333	0.0033992705000000004	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Selenocompound_metabolism
Signal_transduction_mechanisms	0.004109555333333333	0.0031562558333333335	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Signal_transduction_mechanisms
Sulfur_metabolism	0.00299058	0.002263964833333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Sulfur_metabolism
Transcription_factors	0.011317641166666668	0.0085070445	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Transcription_factors
Transcription_machinery	0.010810711833333334	0.009787210499999999	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Transcription_machinery
Transporters	0.0445948065	0.036314562499999994	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Transporters
Vibrio_cholerae_pathogenic_cycle	0.0010145786666666667	0.0006161340000000001	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Vibrio_cholerae_pathogenic_cycle
Zeatin_biosynthesis	0.0008078256666666666	0.0005999878333333333	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Zeatin_biosynthesis
